id,uploader,modifier,source_name,regulator_symbol,regulator_locus_tag,condition,data_usable,preferred_replicate,batch,lab,assay,source_orig_id,upload_date,modified_date,file,single_binding,composite_binding,promoter,background,fileformat
307,chasem,chasem,harbison_chip,SFL1,YOR140W,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:55:47.112892-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/307.csv.gz,307,NA,NA,NA,1
308,chasem,chasem,harbison_chip,YRR1,YOR162C,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:55:47.909043-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/308.csv.gz,308,NA,NA,NA,1
309,chasem,chasem,harbison_chip,WTM2,YOR229W,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:55:48.622929-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/309.csv.gz,309,NA,NA,NA,1
310,chasem,chasem,harbison_chip,WTM1,YOR230W,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:55:49.440138-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/310.csv.gz,310,NA,NA,NA,1
311,chasem,chasem,harbison_chip,MBF1,YOR298C-A,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:55:50.104003-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/311.csv.gz,311,NA,NA,NA,1
312,chasem,chasem,harbison_chip,TYE7,YOR344C,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:55:50.874122-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/312.csv.gz,312,NA,NA,NA,1
314,chasem,chasem,harbison_chip,HAP5,YOR358W,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:55:52.508473-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/314.csv.gz,314,NA,NA,NA,1
315,chasem,chasem,harbison_chip,PIP2,YOR363C,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:55:53.142392-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/315.csv.gz,315,NA,NA,NA,1
316,chasem,chasem,harbison_chip,NDD1,YOR372C,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:55:54.043626-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/316.csv.gz,316,NA,NA,NA,1
317,chasem,chasem,harbison_chip,RDR1,YOR380W,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:55:54.772986-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/317.csv.gz,317,NA,NA,NA,1
